project_id,project_type,state,district,terrain_type,land_area_hectares,estimated_cost_inr_crore,project_start_year,affected_families_count,title_dispute_rate_percent,local_protest_flag,compensation_multiplier_demand,sia_approval_status,section_11_notification_days,forest_clearance_status,fund_disbursement_percent,sia_approval_status_risk_score,forest_clearance_status_risk_score,C_r,F_r,H_r,W_r,P_r,land_area_log,project_age_years,delay_binary_label,delay_risk_tier,CRS,CRS_tier
MoR-WB-2021-0001,Railway,West Bengal,Paschim Medinipur,Urban,598.01,3840.88,2021,4819,25.22,True,2.13,Pending,228,Not_Required,28.65,1.0,0.0,1.0,1.0,0.5051,0.8,0.7,2.7774,5,0,High,76.5,Critical
MoR-TS-2024-0001,Railway,Telangana,Hyderabad,Tribal_Schedule_V,492.64,1469.81,2024,477,52.64,True,3.51,Approved,565,Stage_1_Pending,0.0,0.0,1.0,1.0,0.7603,0.5311,0.5,0.7,2.6934,2,1,Very_High,66.3,High
MNRE-UP-2024-0001,Renewable_Energy,Uttar Pradesh,Moradabad,Rural_Agri,20.86,95.28,2024,67,24.03,False,1.95,Approved,169,Not_Required,69.96,0.0,0.0,0.95,0.5199,0.3761,0.6,0.0,1.3397,2,0,Medium,37.72,Moderate
NHAI-RJ-2023-0001,Highway,Rajasthan,Banswara,Rural_Agri,229.1,1485.37,2023,550,19.78,False,1.65,Pending,311,Not_Required,24.96,1.0,0.0,0.65,0.7778,0.5716,0.4,0.0,2.3619,3,0,High,47.99,Moderate
NHAI-JH-2023-0001,Highway,Jharkhand,Gumla,Rural_Agri,89.23,650.38,2023,562,17.89,False,2.2,Approved,300,Stage_1_Pending,2.47,0.0,1.0,1.0,0.7804,0.6928,0.55,0.0,1.9554,3,0,High,57.16,High
MoR-TN-2022-0001,Railway,Tamil Nadu,Chennai,Urban,260.46,663.86,2022,2598,31.58,False,1.96,Exempted,141,Not_Required,90.0,0.0,0.0,0.96,0.9689,0.5002,0.7,0.0,2.4174,4,0,Medium,47.76,Moderate
NHAI-UK-2025-0001,Highway,Uttarakhand,Udham Singh Nagar,Forest_Eco_Sensitive,206.64,1792.96,2025,198,57.54,True,2.95,Pending,447,Approved,36.19,1.0,0.0,1.0,0.6523,0.6822,0.8,0.7,2.3173,1,1,Very_High,70.41,High
MNRE-UP-2017-0002,Renewable_Energy,Uttar Pradesh,Kanpur Nagar,Rural_Agri,66.32,231.82,2017,225,16.76,False,1.42,Approved,265,Not_Required,38.51,0.0,0.0,0.42,0.6679,0.3761,0.6,0.0,1.8281,9,0,High,31.04,Moderate
MoR-KA-2026-0001,Railway,Karnataka,Bengaluru Rural,Urban,215.66,1279.32,2026,2283,11.16,False,2.03,Exempted,172,Not_Required,25.71,0.0,0.0,1.0,0.953,0.5163,0.55,0.0,2.3358,0,0,Medium,45.18,Moderate
MoR-UP-2024-0003,Railway,Uttar Pradesh,Ayodhya,Forest_Eco_Sensitive,198.56,1041.84,2024,104,36.67,False,2.95,Approved,247,Approved,49.3,0.0,0.0,1.0,0.5735,0.4761,0.6,0.0,2.3001,2,0,High,39.54,Moderate
MoR-RJ-2022-0002,Railway,Rajasthan,Jodhpur,Tribal_Schedule_V,515.74,4217.29,2022,205,44.18,False,2.49,Pending,426,Not_Required,0.0,1.0,0.0,1.0,0.6565,0.5826,0.4,0.0,2.7133,4,1,Very_High,51.99,High
NHAI-UP-2020-0004,Highway,Uttar Pradesh,Hardoi,Urban,150.0,792.8,2020,2367,11.31,False,2.35,Approved,149,Not_Required,69.79,0.0,0.0,1.0,0.9574,0.4713,0.6,0.0,2.179,6,0,Medium,46.26,Moderate
NHAI-CG-2023-0001,Highway,Chhattisgarh,Dhamtari,Tribal_Schedule_V,283.82,2287.53,2023,182,49.72,False,2.93,Approved,483,Not_Required,14.09,0.0,0.0,1.0,0.6419,0.6694,0.55,0.0,2.4546,3,1,Very_High,39.73,Moderate
MNRE-MH-2024-0001,Renewable_Energy,Maharashtra,Nanded,Tribal_Schedule_V,64.35,220.93,2024,87,36.22,False,2.95,Rejected,479,Approved,17.84,1.0,0.0,1.0,0.5517,0.4653,0.6,0.0,1.8152,2,1,Very_High,54.16,High
MoR-AS-2024-0001,Railway,Assam,Karbi Anglong,Rural_Agri,194.64,1240.9,2024,311,37.69,False,2.85,Approved,554,Stage_1_Pending,24.39,0.0,1.0,1.0,0.7077,0.6842,0.85,0.0,2.2915,2,1,Very_High,61.88,High
MoR-WB-2021-0002,Railway,West Bengal,Darjeeling,Tribal_Schedule_V,245.25,1957.36,2021,287,72.09,True,3.55,Pending,730,Stage_1_Pending,0.0,1.0,1.0,1.0,0.6978,0.5051,0.8,0.7,2.3914,5,1,Very_High,86.21,Critical
MoR-KL-2025-0001,Railway,Kerala,Alappuzha,Forest_Eco_Sensitive,368.59,2434.84,2025,1105,36.37,True,2.92,Pending,586,Stage_1_Pending,0.0,1.0,1.0,1.0,0.8636,0.6686,0.75,0.7,2.5677,1,1,Very_High,88.11,Critical
MoR-MP-2015-0001,Railway,Madhya Pradesh,Dhar,Rural_Agri,233.43,824.48,2015,815,30.57,False,2.32,Approved,363,Not_Required,16.38,0.0,0.0,1.0,0.8262,0.6,0.5,0.0,2.37,11,0,High,41.96,Moderate
MoR-GJ-2019-0001,Railway,Gujarat,Gandhinagar,Urban,423.69,2271.14,2019,3421,24.91,True,2.51,Pending,285,Not_Required,12.2,1.0,0.0,1.0,1.0,0.5431,0.55,0.7,2.6281,7,0,High,71.5,High
MoR-HP-2022-0001,Railway,Himachal Pradesh,Bilaspur,Forest_Eco_Sensitive,359.46,2063.87,2022,339,43.15,False,2.6,Approved,727,Stage_1_Pending,50.53,0.0,1.0,1.0,0.7183,0.7358,0.75,0.0,2.5569,4,1,Very_High,60.07,High
MNRE-KA-2020-0003,Renewable_Energy,Karnataka,Tumakuru,Forest_Eco_Sensitive,19.24,74.35,2020,19,18.95,True,3.6,Approved,547,Approved,32.13,0.0,0.0,1.0,0.3691,0.4418,0.55,0.7,1.3062,6,1,Very_High,45.46,Moderate
NHAI-MH-2024-0002,Highway,Maharashtra,Satara,Tribal_Schedule_V,268.06,2729.8,2024,311,50.78,False,2.99,Pending,730,Stage_1_Pending,0.0,1.0,1.0,1.0,0.7077,0.5256,0.6,0.0,2.4298,2,1,Very_High,71.88,High
NHAI-KA-2023-0004,Highway,Karnataka,Davanagere,Rural_Agri,231.4,1906.59,2023,457,15.83,True,2.56,Approved,334,Not_Required,30.22,0.0,0.0,1.0,0.755,0.4867,0.55,0.7,2.3662,3,0,High,52.21,High
NHAI-GJ-2017-0002,Highway,Gujarat,Navsari,Urban,314.91,377.89,2017,3875,12.49,False,1.84,Approved,80,Not_Required,97.12,0.0,0.0,0.84,1.0,0.5459,0.55,0.0,2.4996,9,0,Low,43.2,Moderate
MoR-TN-2020-0002,Railway,Tamil Nadu,Tiruchirappalli,Rural_Agri,272.04,767.05,2020,406,35.85,False,2.51,Approved,143,Approved,33.09,0.0,0.0,1.0,0.7404,0.5002,0.7,0.0,2.4362,6,0,Medium,44.46,Moderate
NHAI-TS-2026-0002,Highway,Telangana,Suryapet,Forest_Eco_Sensitive,107.9,583.55,2026,84,47.23,False,3.44,Rejected,382,Stage_1_Pending,0.0,1.0,1.0,1.0,0.5474,0.5578,0.5,0.0,2.037,0,1,Very_High,67.08,High
MoR-MP-2021-0002,Railway,Madhya Pradesh,Vidisha,Tribal_Schedule_V,196.11,940.17,2021,214,41.59,False,2.63,Approved,610,Stage_1_Pending,0.0,0.0,1.0,1.0,0.6618,0.6,0.5,0.0,2.2947,5,1,Very_High,54.08,High
NHAI-PB-2018-0001,Highway,Punjab,SAS Nagar (Mohali),Urban,109.58,678.65,2018,1677,24.62,False,2.5,Pending,92,Not_Required,65.25,0.5,0.0,1.0,0.915,0.4404,0.5,0.0,2.0437,8,0,Medium,51.01,High
NHAI-KA-2017-0005,Highway,Karnataka,Mysuru,Rural_Agri,247.94,1851.05,2017,1114,29.07,False,2.66,Exempted,474,Stage_1_Pending,0.0,0.0,1.0,1.0,0.8646,0.4867,0.55,0.0,2.3961,9,1,Very_High,58.63,High
MoR-UK-2020-0002,Railway,Uttarakhand,Nainital,Rural_Agri,331.29,2309.27,2020,536,24.24,False,2.22,Rejected,334,Not_Required,40.81,1.0,0.0,1.0,0.7746,0.8252,0.8,0.0,2.5215,6,0,High,62.06,High
NHAI-OD-2022-0001,Highway,Odisha,Puri,Forest_Eco_Sensitive,63.86,595.62,2022,18,20.73,False,2.6,Pending,327,Approved,53.11,1.0,0.0,1.0,0.3628,0.6207,0.8,0.0,1.812,4,0,High,54.85,High
MoR-TN-2025-0003,Railway,Tamil Nadu,Chengalpattu,Rural_Agri,294.52,1474.25,2025,1358,25.33,False,2.66,Pending,334,Not_Required,49.86,1.0,0.0,1.0,0.889,0.5002,0.7,0.0,2.4706,1,0,High,62.06,High
MNRE-KA-2022-0006,Renewable_Energy,Karnataka,Uttara Kannada,Rural_Agri,162.26,586.95,2022,284,27.75,False,1.96,Approved,167,Not_Required,62.25,0.0,0.0,0.96,0.6965,0.4418,0.55,0.0,2.2129,4,0,Medium,39.99,Moderate
MNRE-WB-2015-0003,Renewable_Energy,West Bengal,Purulia,Forest_Eco_Sensitive,33.65,130.26,2015,37,30.02,False,2.66,Approved,503,Approved,35.73,0.0,0.0,1.0,0.4482,0.4149,0.8,0.0,1.5397,11,1,Very_High,41.34,Moderate
NHAI-OD-2015-0002,Highway,Odisha,Mayurbhanj,Forest_Eco_Sensitive,202.9,1429.79,2015,59,62.93,True,2.44,Approved,649,Approved,18.07,0.0,0.0,1.0,0.5045,0.6207,0.8,0.7,2.3094,11,1,Very_High,52.83,High
NHAI-WB-2024-0004,Highway,West Bengal,Malda,Rural_Agri,324.81,2126.43,2024,1588,35.78,False,2.23,Approved,471,Not_Required,24.63,0.0,0.0,1.0,0.9083,0.4936,0.8,0.0,2.513,2,1,Very_High,49.39,Moderate
NHAI-HR-2024-0001,Highway,Haryana,Rewari,Rural_Agri,268.22,1922.91,2024,977,17.88,False,1.6,Approved,369,Stage_1_Pending,23.74,0.0,1.0,0.6,0.8485,0.4126,0.5,0.0,2.4301,2,1,Very_High,50.35,High
